Name of Chemical,Amount (in grams),Number of Bottles,Storage,Location
Galaxy Nonpareils,2.1oz,,N/A,
Rainbow Sprinkles ,5 viyls ,,N/A,
Sparkle gel black,2 viyls,,N/A,
Chrismas Mix Sparkles,1,,N/A,
Akla Seltzer tablets,27,,N/A,
Cover Honey,160z,,N/A,
Ground Cinnamon,4.12oz,,N/A,
Antacid & Pain Relief ,36 tablets,,N/A,
Equate Antacid,12oz,,N/A,
CaCl2,N/A,,N/A,
Lime Stone,N/A,,N/A,
Unflavored Gelatin,1/4oz,,N/A,
Round Wooden Toothpicks,250 count ,,N/A,
Berry-Blue Jell-o,6oz,,N/A,
Unflavored Gelatin,8oz,,N/A,
Vaseline,3.75oz,,N/A,
Equate/Nail polish remover,10oz,,N/A,
Log Cabian Syrup,64oz,,N/A,
Great Value Vegetable oil ,1gallon,,N/A,
Vegetable oil ,48oz,,N/A,
Crisco Vegetable oil,48oz,,N/A,
Wesson vegetable oil,24oz,,N/A,
Light corn Syrup,32oz,,N/A,
Karo corn syrup,32oz,,N/A,
Light corn Syrup,16oz,,N/A,
Karo dark corn syrup,16oz,,N/A,
Lemon juice ,32oz,,N/A,
Wesson vegetable oil,24oz,,N/A,
Lemon juice ,15oz,,N/A,
Lemon juice ,15oz,,N/A,
Non-stick Cooking Spray,6oz,,N/A,
Saltines,16oz,,N/A,
Bin of mix food coloring ,,,N/A,
Bin of Iodine ,,,N/A,
Lemon extract,1oz,,N/A,
Banana extract,1oz,,N/A,
Vanilla extract,1oz,,N/A,
leom extract,1oz,,N/A,
Lactase ,1g,,N/A,
lastace,1g,,N/A,
Mint extract,1oz,,N/A,
Vegetable oil ,30ml,,N/A,
peppermint,,,N/A,
Amylase,10g,,N/A,
Benedicts,9viyls,,N/A,
Carolina,3 viyls/250ml,,N/A,
Biuret Reagent,11viyls,,N/A,
Methyl Red,2viyls/100ml,,N/A,
Phenolphthalein,2viyls/90ml,,N/A,
Suden,5viyls,,N/A,
Sodium Chloride,3kg,,N/A,
70% Isopropyl,4 bottles/32oz,,grey,
91%Isopropyl ,3 bottles/32oz,,N/A,
50% Isopropyl,16oz,,N/A,
Hydrogen Peroxide,5 bottles/32oz,,N/A,
Calcium Chloride,2kg,,N/A,
Sodium Acetate,3 contanter/500g,,green,
Surcose ,1kg,,N/A,
Sodium Bicarbonate,2 bottles/250ml,,green,
Sodium Bicarbonate,7 contaners/250ml,,green,
Sodium Bicarbonate,100g,,green,
Sodium Bicarbonate,500g,,grey,
Pure baking soda,3 boxes/64oz,,N/A,
baking soda,16oz,,N/A,
Sodium Bicarbonate,100g,,green,
Starch,90g,,green,
Hydrogen Peroxide,2 bottles/250ml,,green,
Cornstarch,N/A,,N/A,
Starch,90g,,green,
Starch,90g,,green,
Pure Corn Starch,16oz,,N/A,
Splenda,3.5oz,,N/A,
Baking Soda,N/A,,N/A,
Corn Starch,16oz,,N/A,
Hershey cocoa,8oz,,N/A,
Trader joes cocoa powder,9oz,,N/A,
Nestle Toll house cocoa,8oz,,N/A,
Sodium lodide,100g,,N/A,
Sodium Chloride,,,N/A,
Sodium Bicarbonate,20g,,N/A,
Sodium Chloride,5g,,N/A,
Sodium Chloride,20g,,N/A,
Milk of Magnesia,12oz,,N/A,
 Milk of Magnesia/Cherry flavor,12oz,,N/A,
Fructose,1L,,green,
Sucrose,1L,,green,
Dextose,500g,,health-0,
Lactose,300g,,health-0,
Surcose ,2 contaner/525g,,N/A,
Glucose tablets,4 grams,,N/A,
Cascade,2 boxes/1.27kg,,N/A,
Suave Shampoo,15oz,,N/A,
Scooby-Doo bubble bath,4 bottles/12oz,,N/A,
Copper,9 bags ,,N/A,
Iron ,3 bages,,N/A,
Zinc      ,10 bages,,N/A,
Aluminum Potassium Sulfate,8 bages,,N/A,
4% Polyvinyl Alcohol,180 ml,8,none,cart
0.1% phenolphthalen,small bottle ,7,hazard,cart
 0.1M Potassium Thiocyanate,30ml,17,hazard,cart
Sodium Borate 4% solution,30ml,8,hazard,cart
Sodium Chloride,N/A,16,none,cart
Potassium hydroxide (KOH),               60ml,8,hazard,cart
Sodium Bicarbonate,25g,2,hazard,Cart
Sodium Dichromate,0.1m,1,hazard,cart
sodium carbonate,0.8m,8,none,cart
sodium carbonate 2%,medium size,1,none,cart
sodium carbonate 5%,medium size,8,none,cart
sugar,small capsule,8,none,cart
Activated Charcoal ,mide-size capsule,3,none,cart
Sand,240 cc,1,none,cart
Sodium Hydrogen phosphate (0.8),60ml,8,hazard,cart
tobacco seeds,small capsule,1,none,cart
sodium sulfate,0.1m,1,hazard,cart
sodium chromate,0.1,1,hazard,cart
sodium nitrate,0.1,1,hazard,cart
sodium hyrdroxide,0.5,16,none,cart
sodium hyrdoxide,0.05m,1,none,cart
universal indicator,30mL,16,hazard,cart
vinegar,medium size,1,none,cart
phenolphthalein,medium size,1,hazard,cart
Iron Chloride ,15g,8,hazard ,cart
Calcium Chloride,small capsule,5,N/A,Cart
copper sulfate,small capsule 20g,9,hazard ,cart
Nitrate Test powered,small capsule,2,N/A,Cart
Copper Chloride,20g,7,hazard,Cart
Clay,medium size,2,N/A,Cart
Carbon Pieces,small capsule,1,N/A,Cart
Lauric Acid,small capsule,8,N/A,Cart
Baking Soda,Medium size,8,N/A,Cart
1% Hydrochloric Acid,30ml,14,hazard,cart
Hydrochloric Acid 0.5 m,60ml,8,hazard,cart
Hydrochloric Acid 0.6 m,240ml,1,hazard,cart
Denatured Ethanol,small bottle,16,hazard,cart
Denatured Ethanol,60ml medium bottle,14,hazard,cart
3% Hydrogen peroxide,30ml,8,hazard,cart
Ammonia 5%,30ml,15,hazard,cart
Nitric Acid 0.1 m,Medium bottle,3,hazard,cart
Hydrochloric Acid (1 m),medium bottle,2,hazard,cart
Copper Chloride Paper,flat paper,3,hazard,cart
Bromthymol blue,30ml,16,none,cart
Bromthymol blue,smaller bottle,8,none,cart
copper sulfate,10g,2,hazard,cart
magnesium sulfate,25g,1,hazard,cart
citric acid,5g,1,hazard,cart
